I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
118,154,36,-136,41,95,-228,-174,-335,-366,-350,-234
119,157,38,-138,41,98,-228,-174,-334,-366,-350,-235
119,160,41,-139,39,101,-228,-174,-333,-365,-350,-235
120,162,42,-141,39,102,-228,-174,-333,-364,-350,-236
120,163,43,-141,39,103,-227,-174,-332,-364,-350,-237
119,161,42,-140,39,102,-229,-175,-332,-364,-350,-237
119,159,40,-139,40,100,-230,-176,-334,-365,-350,-236
119,156,37,-137,41,97,-231,-177,-335,-366,-350,-235
118,153,35,-135,42,94,-230,-176,-335,-366,-351,-234
118,152,34,-135,42,93,-230,-176,-336,-366,-351,-234
118,154,36,-136,41,95,-229,-175,-334,-365,-350,-234
118,157,39,-137,40,98,-228,-174,-333,-364,-349,-234
119,160,41,-139,39,101,-228,-174,-333,-364,-349,-235
120,163,43,-141,39,103,-228,-174,-332,-363,-349,-236
121,164,43,-142,39,104,-228,-175,-333,-364,-350,-237
120,162,42,-141,39,102,-229,-176,-333,-364,-350,-237
119,159,40,-139,40,100,-229,-176,-334,-364,-350,-236
118,156,38,-137,40,97,-230,-177,-335,-366,-351,-236
117,153,36,-135,41,95,-230,-177,-336,-367,-351,-236
117,152,35,-134,41,94,-229,-176,-335,-366,-349,-234
119,154,35,-136,42,95,-230,-176,-335,-366,-350,-235
120,157,37,-138,42,97,-229,-174,-334,-364,-349,-235
120,160,40,-140,40,100,-229,-174,-333,-363,-348,-235
120,161,41,-140,40,101,-227,-173,-331,-362,-347,-234
120,162,42,-141,39,102,-227,-174,-331,-363,-348,-235
120,162,42,-141,39,102,-227,-175,-331,-363,-348,-235
120,160,40,-140,40,100,-229,-176,-333,-364,-349,-235
119,157,38,-138,41,98,-231,-177,-334,-366,-350,-235
118,154,36,-136,41,95,-230,-176,-334,-365,-350,-233
119,153,34,-136,43,94,-230,-176,-334,-365,-350,-233
120,154,34,-137,43,94,-230,-175,-334,-365,-349,-233
120,156,36,-138,42,96,-228,-174,-333,-364,-348,-233
120,159,39,-139,41,99,-226,-173,-331,-362,-347,-233
121,162,41,-141,40,102,-225,-172,-329,-362,-346,-233
121,163,42,-142,40,103,-226,-173,-330,-362,-346,-234
120,161,41,-140,40,101,-227,-174,-331,-363,-347,-234
119,159,40,-139,40,100,-228,-175,-332,-364,-348,-234
118,156,38,-137,40,97,-229,-176,-334,-365,-349,-234
118,153,35,-135,42,94,-230,-176,-335,-365,-349,-233
118,153,35,-135,42,94,-230,-176,-335,-365,-349,-233
119,155,36,-137,42,96,-229,-175,-335,-364,-349,-232
120,157,37,-138,42,97,-229,-173,-333,-363,-348,-232
121,160,39,-140,41,100,-228,-172,-331,-362,-347,-232
121,162,41,-141,40,102,-227,-172,-329,-362,-346,-233
121,163,42,-142,40,103,-227,-172,-329,-361,-346,-233
120,162,42,-141,39,102,-228,-174,-331,-363,-348,-234
119,160,41,-139,39,101,-229,-175,-333,-365,-349,-235
119,158,39,-138,40,99,-230,-176,-335,-365,-349,-235
118,155,37,-136,41,96,-230,-176,-335,-366,-349,-233
118,153,35,-135,42,94,-229,-176,-335,-365,-348,-232
118,155,37,-136,41,96,-228,-175,-335,-365,-348,-232
118,157,39,-137,40,98,-226,-172,-333,-363,-346,-231
119,160,41,-139,39,101,-226,-172,-332,-362,-346,-232
120,163,43,-141,39,103,-226,-172,-331,-362,-345,-232
120,163,43,-141,39,103,-226,-172,-330,-362,-346,-233
119,162,43,-140,38,103,-227,-172,-330,-362,-346,-233
118,159,41,-138,39,100,-228,-173,-332,-363,-347,-233
118,157,39,-137,40,98,-229,-175,-333,-365,-348,-233
117,154,37,-135,40,96,-229,-176,-334,-365,-348,-232
117,153,36,-135,41,95,-229,-175,-335,-365,-348,-232
118,155,37,-136,41,96,-229,-175,-335,-365,-348,-232
119,158,39,-138,40,99,-227,-174,-333,-364,-347,-232
120,161,41,-140,40,101,-226,-173,-331,-362,-346,-231
120,164,44,-142,38,104,-225,-172,-330,-361,-345,-231
120,165,45,-142,38,105,-226,-173,-330,-361,-345,-232
118,163,45,-140,37,104,-226,-172,-330,-362,-345,-231
117,161,44,-139,37,103,-227,-173,-332,-363,-346,-232
117,158,41,-137,38,100,-229,-175,-333,-364,-347,-232
