I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
73,394,321,-233,-124,358,-19,-47,-204,-159,-228,-148
73,395,322,-234,-124,359,-21,-48,-206,-161,-230,-150
73,397,324,-235,-125,361,-21,-49,-207,-161,-229,-150
73,398,325,-235,-126,362,-23,-50,-209,-162,-230,-152
73,399,326,-236,-126,363,-23,-51,-209,-161,-230,-152
72,398,326,-235,-127,362,-22,-50,-209,-161,-229,-151
72,397,325,-234,-126,361,-22,-49,-208,-161,-229,-150
74,396,322,-235,-124,359,-21,-49,-207,-159,-228,-150
75,395,320,-235,-122,358,-20,-48,-205,-158,-228,-149
76,395,319,-235,-121,357,-20,-49,-206,-158,-229,-150
76,395,319,-235,-121,357,-20,-49,-205,-158,-229,-150
75,397,322,-236,-123,360,-20,-49,-205,-158,-229,-150
73,399,326,-236,-126,363,-21,-49,-206,-159,-229,-150
71,400,329,-235,-129,365,-22,-49,-207,-159,-230,-151
72,400,328,-236,-128,364,-23,-50,-208,-160,-230,-151
73,399,326,-236,-126,363,-23,-51,-208,-160,-230,-151
73,398,325,-235,-126,362,-22,-51,-208,-160,-230,-150
74,397,323,-235,-124,360,-21,-50,-208,-159,-230,-150
75,396,321,-235,-123,359,-20,-49,-206,-158,-230,-150
75,396,321,-235,-123,359,-20,-49,-205,-158,-229,-150
75,397,322,-236,-123,360,-20,-48,-204,-158,-229,-149
74,398,324,-236,-125,361,-20,-48,-205,-159,-229,-150
74,400,326,-237,-126,363,-22,-50,-207,-160,-230,-151
73,401,328,-237,-127,365,-23,-51,-208,-160,-230,-151
73,402,329,-237,-128,366,-23,-51,-209,-160,-229,-151
73,401,328,-237,-127,365,-23,-51,-209,-160,-229,-151
73,400,327,-236,-127,364,-22,-50,-207,-159,-228,-150
73,398,325,-235,-126,362,-21,-50,-206,-159,-228,-150
73,397,324,-235,-125,361,-19,-48,-204,-158,-228,-148
74,397,323,-235,-124,360,-20,-49,-205,-159,-229,-148
74,398,324,-236,-125,361,-20,-49,-205,-159,-229,-148
74,399,325,-236,-125,362,-20,-49,-207,-161,-229,-149
74,400,326,-237,-126,363,-21,-51,-210,-163,-230,-150
74,401,327,-237,-126,364,-22,-51,-211,-162,-230,-151
74,401,327,-237,-126,364,-22,-51,-212,-161,-230,-151
74,401,327,-237,-126,364,-23,-51,-211,-161,-230,-151
75,400,325,-237,-125,363,-22,-51,-208,-160,-230,-151
75,399,324,-237,-124,362,-22,-50,-205,-158,-229,-150
75,398,323,-236,-124,361,-20,-49,-203,-157,-228,-148
